max_latency; success_rate
0,00065;99,9
0,0006375;99,7
0,000625;99,8
0,0006125;99,9
0,0006;99,9
0,0005875;99,1
0,000575;99,4
0,0005625;99,4
0,00055;98
0,0005375;97,1
0,000525;95,2
0,0005125;89,8
0,0005;87,2
0,0004875;84,4
0,000475;82
0,0004625;77,6
0,00045;72,2
0,0004375;73,7
0,000425;0
0,0004125;0
